Year,Month,Work Type,Value
2010,"Jan ",New Housing - Public,371
2010,"Jan ",New Housing - Private,1241
2010,"Jan ",Total Housing,1612
2010,"Jan ",Other New Work - Infrastructure,1474
2010,"Jan ",Other New Work - Excluding Infrastructure - Public,1361
2010,"Jan ",Other New Work - Excluding Infrastructure - Private Industrial,353
2010,"Jan ",Other New Work - Excluding Infrastructure - Private Commercial,2287
2010,"Jan ",All New Work,7087
2010,"Jan ",Repair & Maintenance - Housing - Private,835
2010,"Jan ",Repair & Maintenance - Housing - Public,1408
2010,"Jan ",Repair & Maintenance - Housing - Total,2243
2010,"Jan ",Repair and Maintenance - Non Housing R&M,1904
2010,"Jan ",All Repair and Maintenance,4147
2010,"Jan ",All Work,11234
2010,"Feb ",New Housing - Public,458
2010,"Feb ",New Housing - Private,1391
2010,"Feb ",Total Housing,1849
2010,"Feb ",Other New Work - Infrastructure,1516
2010,"Feb ",Other New Work - Excluding Infrastructure - Public,1401
2010,"Feb ",Other New Work - Excluding Infrastructure - Private Industrial,350
2010,"Feb ",Other New Work - Excluding Infrastructure - Private Commercial,2397
2010,"Feb ",All New Work,7513
2010,"Feb ",Repair & Maintenance - Housing - Private,809
2010,"Feb ",Repair & Maintenance - Housing - Public,1463
2010,"Feb ",Repair & Maintenance - Housing - Total,2272
2010,"Feb ",Repair and Maintenance - Non Housing R&M,1943
2010,"Feb ",All Repair and Maintenance,4215
2010,"Feb ",All Work,11728
2010,Mar,New Housing - Public,439
2010,Mar,New Housing - Private,1438
2010,Mar,Total Housing,1877
2010,Mar,Other New Work - Infrastructure,1563
2010,Mar,Other New Work - Excluding Infrastructure - Public,1501
2010,Mar,Other New Work - Excluding Infrastructure - Private Industrial,368
2010,Mar,Other New Work - Excluding Infrastructure - Private Commercial,2335
2010,Mar,All New Work,7644
2010,Mar,Repair & Maintenance - Housing - Private,756
2010,Mar,Repair & Maintenance - Housing - Public,1430
2010,Mar,Repair & Maintenance - Housing - Total,2186
2010,Mar,Repair and Maintenance - Non Housing R&M,1956
2010,Mar,All Repair and Maintenance,4142
2010,Mar,All Work,11786
2010,Apr,New Housing - Public,452
2010,Apr,New Housing - Private,1469
2010,Apr,Total Housing,1922
2010,Apr,Other New Work - Infrastructure,1533
2010,Apr,Other New Work - Excluding Infrastructure - Public,1494
2010,Apr,Other New Work - Excluding Infrastructure - Private Industrial,352
2010,Apr,Other New Work - Excluding Infrastructure - Private Commercial,2327
2010,Apr,All New Work,7629
2010,Apr,Repair & Maintenance - Housing - Private,795
2010,Apr,Repair & Maintenance - Housing - Public,1490
2010,Apr,Repair & Maintenance - Housing - Total,2285
2010,Apr,Repair and Maintenance - Non Housing R&M,2033
2010,Apr,All Repair and Maintenance,4318
2010,Apr,All Work,11947
2010,May,New Housing - Public,461
2010,May,New Housing - Private,1530
2010,May,Total Housing,1991
2010,May,Other New Work - Infrastructure,1573
2010,May,Other New Work - Excluding Infrastructure - Public,1479
2010,May,Other New Work - Excluding Infrastructure - Private Industrial,338
2010,May,Other New Work - Excluding Infrastructure - Private Commercial,2415
2010,May,All New Work,7796
2010,May,Repair & Maintenance - Housing - Private,817
2010,May,Repair & Maintenance - Housing - Public,1548
2010,May,Repair & Maintenance - Housing - Total,2365
2010,May,Repair and Maintenance - Non Housing R&M,2024
2010,May,All Repair and Maintenance,4389
2010,May,All Work,12186
2010,June,New Housing - Public,426
2010,June,New Housing - Private,1468
2010,June,Total Housing,1895
2010,June,Other New Work - Infrastructure,1582
2010,June,Other New Work - Excluding Infrastructure - Public,1472
2010,June,Other New Work - Excluding Infrastructure - Private Industrial,421
2010,June,Other New Work - Excluding Infrastructure - Private Commercial,2412
2010,June,All New Work,7782
2010,June,Repair & Maintenance - Housing - Private,850
2010,June,Repair & Maintenance - Housing - Public,1548
2010,June,Repair & Maintenance - Housing - Total,2398
2010,June,Repair and Maintenance - Non Housing R&M,2142
2010,June,All Repair and Maintenance,4540
2010,June,All Work,12322
2010,"July ",New Housing - Public,490
2010,"July ",New Housing - Private,1542
2010,"July ",Total Housing,2032
2010,"July ",Other New Work - Infrastructure,1465
